artist,perfomance_day,genre,subgenre,is_headliner
"TYLER, THE CREATOR ",Thursday,Hip-Hop,Chill/Indie Rap,Yes
LIZZY MCALPINE ,Thursday,Folk,Indie Folk,No
FISHER ,Thursday,EDM,House,No
LABRINTH ,Thursday,R&B,Dream/Trance,No
BENSON BOONE ,Thursday,Pop,TikTok Famous,No
JUNGLE ,Thursday,Funk,Soul,No
KESHA ,Thursday,Pop,Electronic Pop,No
MOCHAKK ,Thursday,EDM,House,No
CHAPPELL ROAN ,Thursday,Pop,Indie Pop,No
DON DIABLO ,Thursday,EDM,House,No
D4VD ,Thursday,Pop,Indie Pop,No
WALKER & ROYCE ,Thursday,EDM,House,No
TYLA ,Thursday,R&B,Afrobeats,No
THE JAPANESE HOUSE ,Thursday,Pop,Dream Pop,No
KASBO ,Thursday,EDM,Dream/Trance,No
FLO ,Thursday,Hip-Hop,R&B Pop,No
DADI FREYR ,Thursday,Pop,Electronic Pop,No
OLIVIA DEAN ,Thursday,Pop,R&B Pop,No
SAM BARBER ,Thursday,Pop,Indie Pop,No
BIGXTHAPLUG ,Thursday,Hip-Hop,Trap Rap,No
ELYANNA ,Thursday,Pop,R&B Pop,No
SAINT LEVANT ,Thursday,Hip-Hop,Chill/Indie Rap,No
GIOLI & ASSIA ,Thursday,EDM,Dream/Trance,No
MATT HANSEN ,Thursday,Pop,R&B Pop,No
BLONDSHELL ,Thursday,Pop,R&B Pop,No
FLESHWATER ,Thursday,Rock,Grunge/Shoegaze,No
SPINALL ,Thursday,EDM,Afrobeats,No
BRENN! ,Thursday,R&B,R&B Pop,No
HOZIER ,Thursday,Folk,Alternative/Indie Rock,Yes
QUANNNIC ,Thursday,EDM,House,No
RIOVAZ ,Thursday,R&B,R&B Pop,No
WORRY CLUB ,Thursday,Pop,Indie Pop,No
METTE ,Thursday,Pop,Electronic Pop,No
BEEN STELLAR ,Thursday,Rock,Alternative/Indie Rock,No
ABBY HOLLIDAY ,Thursday,Pop,Indie Folk,No
CAMDEN COX ,Thursday,EDM,Dream/Trance,No
CHANCE EMERSON ,Thursday,Pop,Indie Pop,No
WOLVES OF GLENDALE ,Thursday,Rock,Alternative/Indie Rock,No
ADAN DIAZ ,Thursday,R&B,R&B Pop,No
WALTER THE PRODUCER ,Thursday,Hip-Hop,Latin,No
GOLDIE BOUTILIER ,Thursday,Pop,Indie Pop,No
BRANDI CYRUS ,Thursday & Friday,Country,,No
SZA,Friday,R&B,R&B Pop,Yes
LAUFEY,Friday,Pop,Jazz,No
RENEÉ RAPP,Friday,Pop,,No
ZEDD,Friday,EDM,Electronic Pop,No
FAYE WEBSTER,Friday,Folk,Indie Folk,No
VICTORIA MONÉT ,Friday,R&B,R&B Pop,No
SEXYY RED ,Friday,Hip-Hop,TikTok Famous,No
GALANTIS ,Friday,EDM,House,No
LOUD LUXURY ,Friday,EDM,House,No
KEVIN ABSTRACT ,Friday,Hip-Hop,Experimental Hip-Hop,No
RAYE ,Friday,R&B,R&B Pop,No
MEGAN MORONEY ,Friday,Country,,No
RUEL ,Friday,R&B,R&B Pop,No
ALOK ,Friday,EDM,House,No
QVEEN HERBY ,Friday,Hip-Hop,Pop Rap,No
VEEZE ,Friday,Hip-Hop,Pop Rap,No
IN THIS MOMENT ,Friday,Rock,Metal,No
NOIZU ,Friday,EDM,House,No
WILDERADO ,Friday,Rock,Alternative/Indie Rock,No
